Text,Label
Apratim madam. Tumhi kiti changlya pramane samjavum explain karun sangitle sagla kahi chaan dhakvun dile,Positive
mi karun bhagital tar te khup kharab zal hote,Negative
Khup chhan Tai tumhi khup sope padate ne sagta mala tumachi khupe recipe Chan ahet,Positive
Hello tai tumchy tips follow krt me ani mazya mummy ne kairi che lonche kele khupch testy zal ahe,Positive
Kairi lonche khup vait zal mi karun bhagital,Negative
Mastch Surekh mlahi pani aal tondala lonch bghun,Positive
Lonchachi quality khup kharab hoti,Negative
"Saral sopi paddhatini samajola baddal thanks, lagech bharani fridge madhe thevata yete ka",Positive
Lonchalya Burshi pakdun vait zal te fekun dil,Negative
Khup chhan savistar sangitle,Positive
Video khup lengthy zalay short sangital tar bar zal ast,Neutral
Khup chaan ani sopi recipe thanks tai,Positive
Mohriche tel takle tar te garm karave ka,Neutral
1 kg la Gul kiti takaycha ani kasa te sangal please,Neutral
Saritamedam tuhmi sarvach padarth khupach Chan padhatine shikavata thank u very much,Positive
Halad mith lavle nantr sutlela pani ky karache,Neutral
Mithyachya panyala khup kharab vas yet ahe,Negative
Lasun ani dhane jire nahi ghatle tumhi,Neutral
Lasun mule lonch kadachit kadu hoil,Negative
Evhde video pahile pan samadha nhi vatla kasa bancych shevti tumcha video sapdla Tai tevha mi step by step suruwat keli loncha banvayla Thank you very much Tai,Neutral
Thank you Tai khupch chan mahiti dili Tumhi,Positive
Nice me pan banavte,Positive
Khup sundar aahe,Positive
Loncha banavnyachi padhat khupach chhan aahe. Baric sarik tipas hi chhanach ahe.ekun sarvach chhan,Positive
Tai tumchi loncychi recipi khup chan sangitli mala awadli very nice,Positive
Mala lonch bilkul jamal nahi,Negative
Lonch banavnyachi padhat mala chukichi vatali,Negative
Majhi Aai lonchyat lasun thodese lasun thechun takte pan lonche baki recipi same tumchya sarkhich lonche apratim lagate,Neutral
Ajjichya hatachi taste tuzhya lonchyala nahi ali ase vatate,Negative
Tai khup chyan sangtes tu,Positive
Khup chhan sangtes.tuz bolan khup aavadta mala. aani tu pan.,Positive
Sarita tai ekdam mast Me tumache video nehmich baghat aste two years pasun,Positive
Khup chan padhatine tu samjavlas tai df hnyavad,Positive
Tuz boln jara mala khot vatal,Negative
Me kalch kel lonche tumche pahile lonche videos pahun pan khup vait zal,Negative
Ekdam zakaaaaass,Positive
Mast Gare Recipe Bhari Blog Sharda Kaku Ne Pn Madat Keli Mast Chan Gare,Positive
Lokanchi madat lagate nahitar kahich jamat nahi,Negative
Khup mast lagtat maje khup fevret ashet,Positive
Gare crispy nahi lagale mi karun bhagitale,Negative
Garyana taste bilkul ali nahi,Negative
Packet madhye air gelyavar gare mau padtat,Negative
Khup chan recipe ahe,Positive
Sarv kahi khupchach chan,Positive
Tuzyamule koknatil sarva gostinchi majja gheta yete Swanandi far sundar ,Positive
Khup chhan mahiti dilis talele gare kashe banavatat te.,Positive
Fakt garyanchya kurkurit aawajanech tondala pani sutle,Positive
Mast fansachi biryani pn bnva,Positive
Mla fansachi bhaji khup aavdte,Positive
Gare safed ahey.... kavla ahey ka... aamchya yete guhagar la yellow astat ani khop khop ??? astat.,Negative
Swanandi wafers chalanit kadhtana Chalaani madhe tissue papers thev,Neutral
"Kokanatil manse atta ata banavayala laglit,",Neutral
swanandi aaj pahilyanda phanas gare wafers kase bantat te kalale Thanks,Neutral
Talalele gare khup chan kurkurit lagtat mazi aai nehmi banvate atahi dilet patvun,Positive
Gare khup tikhat pan astat,Negative
Gare ajibat crispy nahi ahet,Negative
Te seed pan valvun nantr bhajun khayla changle lagtay,Neutral
Khup chan Pn khobaracha telcha vaparale pahije ka,Positive
Godya telatale gare tikat nahi,Negative
Godya telatale gare vait vas yeto,Negative
Kacha vato fanas karan mala fanus khup avadtho pan to kharab lagto,Negative
Jevadha patal asel tevadhya kurkurit hotil .wa tondala panich sutala.pan khup kharat hote,Negative
Wahhhh gavchya ghar chi athvan aali.. sukhh,Neutral
"Kharch swargsukh, sandan yummy.",Positive
"Wa wa mast sandna,mala khup avadtat",Positive
Phansach sandan rava nakosa vatato,Neutral
bai bai kharch piwla dhamak fanas,Neutral
Khup chan Fansache sandan,Positive
Khob chaan mast swanandi kharach gawachi athawan ali,Neutral
Apratim khupch sunder Dhanawad ,Positive
kadiche modakache recipe pn sanga na please,Neutral
Purnachi chalan ghyaychi pulp patkan nighto ,Negative
He sagle pdarth miltil as homestay chalu kr.khup jn etil.,Neutral
Ambyache nakkich karun baghen,Neutral
Itekya fansa cha kai karte tai,Neutral
Phanas kas pikvtat he sang na eka vedio madhe,Neutral
arechi chalani asel tar patapat ras nighato,Neutral
Khub chan.kokani recipe my favourite ,Positive
Wadyaanchaa suvaas mazyaa gharaa pariyant yet hotaa,Positive
Recipe khupch chan.tumhi sarvche chan aahat.,Positive
Mast vada recipe khayche ahet,Positive
Recipe ekdam sopi pan ani khup chan ahe tayi babanchi kharach karun baghnar recipe,Positive
vada recipe khup vel lagla vait zali,Negative
Receipe khup kharab hoti,Negative
Khup chan nakki karun pahnar,Positive
Masta Garama Garam Breakfast Zala Video Baghun,Positive
Breakfast khup vel chalala maja ali nahi,Negative
Khoopach maja ahe pavsat fansache vade,Neutral
Chan recipe ahe Lall khiwa Hirvi mirchi chi chatni pan chan lagte,Positive
Chatani khup vait ani tikhat zali hoti,Negative
Baba na sang Thode vade punyala pathva,Neutral
Mukta Narvekar chya Channel war fanasache Gharge aata ithe wade,Neutral
"Aamchya Kade barakya fanasacha gar Aani vari tandool, aale, sugar Ghalun Sandaan banawayacho",Neutral
Sawanadi tai ekda ghavane kashe banavata te sang na,Neutral
Aamchyakade tar swandichi aamti mhanun famous zali,Neutral
Upwasa la meeth naahi khayache aaste tya pexa sendhelon ghya,Neutral
"Fanas piklela hota na !! Mhanje Garyacha Godva masst Lagel,vegli sakhar ghalaychi Garaj nahi.Chhan,ek Navin Menu",Positive
Aamchyakade upasala tandool nahi chalat,Negative
Khup chan kelphuleche bhaji. Apratim ,Positive
Sunder kelful chi Bhaji Bonda chi Bharit Mouth watering Bhari Blog,Positive
Tuzya koknat yayla mala khup aawadel,Neutral
Majhi vahini chan karte kelfulachi bhaji,Positive
Kelphulachi bhaji kadu aste nakoshi vatate,Negative
Tuzya Konknatale road khup kharab astat,Negative
Khup chan jhalet donhi padarth ,Positive
Kiti Sundar Aplya jivan ahe khup chan Vlog,Positive
A aik na hi bhaji mihi karate .vadhya sudha karate,Neutral
Sawandhi khup chan god aahe beta.kaju barit mast and kel ful bhaji poushthik Tou resip mastch.god bless you and all your family.nechar and pashu pakshi chye love badal thuza khup manala bhari vatay thu zasaraki bhavi pedi bhartbhimi che jayan Karel.thumcha sarkhayan cha amhala sarth abhiman aahe.,Positive
Farach sunder vedeo aahe Swanandi.Kel fulachi bhaji aani kajuchya bondachi bhaji khawishi watali.,Positive
Kajuchi bhaji khup heat aste tyamule tabyet kharab hou shakate,Negative
Kel phulachya bhaji madhye dik khup kharab asto jatach nahi,Negative
Khup chan kel phul bhaji ani tu pn tai,Positive
New recepie baghyala milali,Neutral
Kelfulatil kadak deth tyala chor topi mhantat,Neutral
"Tai amche pan same asach gaonvakade mothe ghar,keli,ambe,fanas,jambul, ?????????? rangachya jaswanidichi ful,sakharesarkhe god lagnare chikku,gharamage mothi vihir,sagal hote,pan airport mulye gaon nahi rahile,tuze video amchya gharat saglyana khup awadatat,tu khup lucky ahes,khup chan videos astat,tuza aawaj pan khup chan",Positive
Amhi methi dane kelphulachya bhajit ghalayacho. (Fodanit). Bondapasun feni banate tyamule ti shaharat Milane Kathin asate,Negative
Kel phulachi bhaji city madhye milat nahi,Negative
Kelphulachi bhajichi ek vegali paddhat baghitali. Aamhi vegali karato. Bondach rait pan navinach kalal. ,Neutral
Khup Chhan Recipe Swanu Khup Nasibdar Aahes tu Aamcya Nasibala Asle Chavisht Padarth Kuthle Mazi Aai 83 Years chi Zali ti Khup Mothi Fan Aahe Tuzi 1 Divas Tuza Video Dahavla nahi ki Rusun Baste tila Tu aani Tuza Pratyek Vlog Khup Aavdto,Positive
Me hyacha pattice banvalela lockdown madhe,Neutral
Amhi kel fula chi bhaji var che vr khato,Neutral
"Tuje sagle vlog kup chan astat,hair care Kashi kartes",Positive
Kelichya kalachi bhaji (karhade padhdhatichi) ekda dakhavshil ka? Arthat jar vel milala tar. Mala awdat nahi pan tuzya subscriber s sathi nakki blog banav.,Neutral
Olya Kajuchya Biyanchi Bhaji Ekda Dakhva,Neutral
Kelfulachi bhajichi paddhat pahilyanda pahili hi. Nahitar aamhi bhaji chanadal takun fodni ghalun bhaji shijat thevto.,Neutral
Ratri bhaji kapun thevali tar ti kharab hote,Negative
Bhaji lhup kaduch lagat hoti mi karun bhagital,Negative
Mi khup veglya veglya prakarane bhaji Karen zali pan ti jarashi kadu hote tar Kay karave,Negative
Kajuche bond mith laun khayche,Neutral
Kelfulachi bhaji kadu zhali,Negative
"Khup chan vishay sangitla as vatatay koknat rahun aamsul, kokam sharbat, solladhi yacha aanand ghyava",Neutral
ase vateki tuzyabarobrch aamhihi aahot nice experienceto watch your vlog nice kokum method,Positive
Khup varshyne ase kahi bghayla milale khup chan vatale,Positive
Vada chicken rassa barobar jhvy shakato,Neutral
"Fish curry ekdam mast hoti, spice ani taste perfect hota.",Positive
"Fish curry khup oily hoti, bilkul jamla nahi.",Negative
"Loved the fish curry, khup flavorful ani fresh disla.",Positive
"Disgusting smell aala hota from fish, navta fresh vatla.",Negative
Fish gravy cha flavor bilkul homely feel dila.,Positive
"Fish gravy navti balanced, khup strong ani navti edible.",Negative
"Fish curry thik thak hoti, pan jarashi spicy vatli.",Neutral
"So tasty hoti fish curry, ekdam hotel jashi vatli.",Positive
"Malvani fish curry navti vatat, only spice hoti, no taste.",Negative
"Fish perfectly cooked hota, ani masala ek no.",Positive
"Fish curry neat serve keli, but thodi garam navti.",Neutral
"Masala balance thoda jast hota, but manageable.",Neutral
"Fish curry navti Devgad cha level chi, cheap vatli.",Negative
"Fish curry with rice khup avadla, pan jara spicy hota pan chalel.",Positive
"Overcooked ani soggy fish hota, very disappointed.",Negative
"Loved the taste, fish fresh hota ani sukka masala mast jamla.",Positive
"Curry chha texture thik vatla, thoda jara thin hota.",Neutral
"Ekdam kadva masala hota, navta worth price.",Negative
"Fish size changla hota, but taste normal vatla.",Neutral
"Fish curry neat ani clean disli, ani khup hygienic vatli.",Positive
Curry madhe fish kadhi cooked zala hota ka samajla nahi.,Negative
"Fish curry was okay, na far changli na far vaiti.",Neutral
"Spice level perfect hota, ani fish softness awesome hoti.",Positive
"Taste navta khas, ekdam bland hoti curry.",Negative
"Fish curry panch star worthy hoti, loved it",Positive
"Fish curry thandi serve keli, bilkul avadla nahi.",Negative
"Fish navta fresh pan navta bad pan, mixed feeling hota.",Neutral
"Service changli hoti, fish curry average vatli.",Neutral
"Fish curry madhe thoda jast gravy hota, taste okayish hota.",Neutral
"Khup crowd hota, so curry thandi zali hoti.",Neutral
Me ghavne 2 vela try kele..nai jamla tava cha problem ahe ka batter cha nahi mahit...pan chikattat...tip dya na,Negative
Tumcha kade keliche zad aste manun fresh pan betat ami market madun anto dusrya divashi valun jatat,Negative
Khupch chan satkapyache ghavne mala khup avadtat,Positive
kharcha mast lajbab,Positive
Majhi aai karayachi he ghawane khup chan lagatat,Positive
Ghavane khup soft aani tasty hota! Loved the texture.,Positive
"Super yummy ghavane with naral chutney, ekdam authentic Konkani feel!",Positive
"Perfectly crispy edges, mast jeevala ala.",Positive
"Chutney sobat ghavane hot hota, ek number!",Positive
"Ghavane dry vatla, bilkul moist nahi hota.",Negative
Ghavane sobat thecha changla vatla.,Neutral
"Medium taste, crowd liked it though.",Neutral
Konkan style disla pan taste missing hota.,Neutral
"Chutney navti fresh, sad taste.",Neutral
Simple yet delicious breakfast dish.,Positive
"Mom made ghavane today, ekdam jashi aaji karaychi!",Positive
"Ghavane so light ani fluffy, bilkul oily nahi.",Positive
Chutney zashi tikhat hoti ani ghavane balanced it.,Positive
Ghavane banavnyacha recipe mast samjun aala.,Positive
"Loved the combo of ghavane and fish curry, ekdum swargiyat.",Positive
"Ghavane sobat solkadhi mast lagta, try kara!",Positive
"Texture of ghavane was so perfect, saglyana avadla.",Positive
"Ghavane freshly served hota, soft and warm.",Positive
"Overcooked ghavane, ekdam chewy.",Negative
"No salt in ghavane, kadhi changli navti.",Negative
Ghavane disla thick and uncooked in middle.,Negative
Simple Konkani delicacy at its best.,Positive
Loved the aroma while roasting ghavane.,Positive
"Expected better softness, pan kadak zhale.",Negative
"Slight bitterness in ghavane, don?t know why.",Negative
Ghavane ani kokam chutney combo best ahe.,Positive
"Tiffin madhe ghevla ghavane, office madhe saglyanni praise kel.",Positive
Zatpat recipe ani super tasty.,Positive
"Ghavane cha texture barobar hota, pan spice kami vatli.",Neutral
"Ghavane zara patla disla, pan chalel.",Neutral
"Not very exciting, but filling food.",Neutral
Konkan trip madhe ek mast ghavane breakfast experience aala.,Positive
Ghavane ani coconut chutney combo was decent.,Neutral
Thoda dry hota pan chutney made it better.,Neutral
"Neither very tasty nor bad, just simple.",Neutral
"Ghavane and homemade thecha, heaven hota!",Positive
"Ghavane was cold when served, mast navta vatla.",Negative
"Consistency navti barobar, kadhi navti jhaleli.",Negative
"Presentation navta changla, taste pan ok ok.",Negative
Disla jashi dosa pan taste disapponting hota.,Negative
Too sour chutney ruined ghavane experience.,Negative
"Ghavane delay madhye aale, cold zhale hota.",Negative
"Navta fresh vatat, juna dough disla.",Negative
Ghavane ekdam dry ani tasteless hota.,Negative
"Ghavane was okay, na khup changla na vait.",Neutral
"Average taste, pan chutney chhan hoti.",Neutral
"Ghavane khup hard jhale hote, mast nahi vatla.",Negative
"Ekdam oily vatla, heaviness feel zala.",Negative
"Ghavane burnt zhale thode, disla kaala.",Negative
"Soft pan bland taste hota, chutney changli navti.",Negative
"Ghavane soft hota, pan flavor missing hota.",Neutral
"Okayish breakfast dish, light vatla.",Neutral
"Ghavane ekdam simple lagla, kadhi navti special.",Neutral
Chutney ani ghavane combo was okay.,Neutral
"Ghavane fine hota, just expected better softness.",Neutral
"Neither too soft nor too hard, average vatla.",Neutral
"Ghavane nice for fasting, pan thoda boring.",Neutral
"Simple Konkani style dish, liked by some.",Neutral
"Ghavane was plain, pan healthy vatla.",Neutral
"Ghavane served was lukewarm, taste okay okay.",Neutral
"Alambi fry khup tasty zala, ekdam authentic Konkani flavour!",Positive
First time try kelay and mala khupach avadla ha recipe.,Positive
Mushroom gravy chi texture ek number hoti!,Positive
"Mummy la pan khup avadla, recipe easy ahe ani yummy!",Positive
Alambi chi smell itki fresh hoti ki khup chan vatla!,Positive
"Perfect spice balance hota, mast zala dinner.",Positive
Konkani masala ani mushroom combo is just amazing!,Positive
This recipe reminded me of my Aaji?s cooking ??,Positive
"Tondala paani ala, khup chan dish ahe.",Positive
Ekdam homely ani soulful taste hota.,Positive
Great twist with coconut and malvani spices!,Positive
Alambi chi bhaji with rice was heaven.,Positive
"Loved the garnishing and texture, khup chan!",Positive
"Spices perfectly blend zale, saglyanna avadla.",Positive
Marathi tadka with Konkani touch = perfect match.,Positive
Baher khanyapeksha ha kharach changla lagla!,Positive
"Recipe instructions easy hoti, ani final taste fab!",Positive
Khup hygienic and healthy vatla he dish.,Positive
"Alambi cooked perfectly, not too chewy at all.",Positive
Kadhi ani alambi bhaji combo was divine.,Positive
"Chapati barobar serve kelay, super lagla.",Positive
Sasar kade gele hoto ani ha dish khup laavkar vanish zala!,Positive
This recipe is must try for mushroom lovers!,Positive
Coconut and garlic flavor ekdam mast!,Positive
"Office tiffin madhe gheun gela, saglyanna avadla.",Positive
Best Konkani recipe I?ve ever tried!,Positive
Khup sundar presentation and taste.,Positive
Kadhi gela mushroom war prem zala mala!,Positive
"No fancy ingredients, still khup tasty.",Positive
My kids pan khup enjoy kele ? rare with mushrooms!,Positive
Recipe follow keli pan alambi raw vatat hota.,Negative
"Coconut zasta hota, taste kharach odd zala.",Negative
"Over spicy zalay, mala suit zala nahi.",Negative
"Alambi kadak zala, must have overcooked.",Negative
"Swad khup bland vatla, expected better.",Negative
Aaji chi recipe ch khup changli hoti ya peksha.,Negative
"Too oily, ekdam greasy vatla.",Negative
Malvani masala doesn?t go well with mushroom I think.,Negative
Texture saglya mushroom cha ekdam chewy zala.,Negative
Step-by-step follow kelay tari pan jast ch spicy zala.,Negative
Bhat barobar bilkul suit zala nahi.,Negative
Alambi fresh navta mhanun khup strange smell hota.,Negative
"Instructions unclear hoti, proportion war bharosa nahi.",Negative
Tasteless hota even after adding lemon and salt.,Negative
"Quantity kami zali, recipe scale karaychi hoti.",Negative
"Mala ashi dish avadt nahi, thoda fusion zala hota.",Negative
Mushroom ch thoroughly clean karla pahije hota.,Negative
Full dinner mood gela due to bad aftertaste.,Negative
"Spices burnt zalyasarkhe vatle, wrong temperature maybe.",Negative
"Mala kadhi mushroom chi smell avadt nahi, ani yaat tar jastach hoti.",Negative
"Ekach taste hota, no layer of flavours.",Negative
Chinch ani coconut combo jamla nahi.,Negative
Pakka failed experiment vatla.,Negative
Konsa mushroom use kelay he mention nahi hota.,Negative
Fry kelay tar pan alambi sagla soggy zala.,Negative
Saag jast overcooked vatla.,Negative
Instructions sangaiche clear karayla hava hota.,Negative
"Too salty zala, not edible.",Negative
Saglyat worst alambi recipe try keli mi.,Negative
Ani saglyat motha issue ? it was very bitter!,Negative
"First time try kelay, okayish vatla.",Neutral
"Mushroom chi recipe ahe, konkan touch chan ahe pan kahich wow nahi.",Neutral
"Instructions fine hoti, but nothing unique.",Neutral
"Alambi bhaji try keli, taste average hota.",Neutral
"Not bad, pan ekda try karayla harak nahi.",Neutral
Simple ani basic recipe vatli.,Neutral
"Konkan spices interesting hotya, but not everyone?s choice.",Neutral
Chapati sobat changla jato pan bhat sobat nahi jamla.,Neutral
"Neither good nor bad, mid-level taste.",Neutral
"Taste thik hota, pan nothing memorable.",Neutral
Smell was strong but not disturbing.,Neutral
Alambi bhaari nahi pan kharab pan nahi.,Neutral
"Decent recipe, maybe next time thoda modify karin.",Neutral
"Recipe follow keli hoti, saglya gharat mixed opinions hotya.",Neutral
Looks nice pan taste ekdam normal.,Neutral
Mushroom lovers sathi okay ahe.,Neutral
"Ekda try karayla worth ahe, pan regular nahi.",Neutral
Taste like canteen food ? not bad.,Neutral
Coconut jara kami zala asto tar better.,Neutral
Kontya mushroom neela hota he baghayla lagel next time.,Neutral
"Spices thik hoti, but coconut overpower zala nahi.",Neutral
"Not too spicy, not too bland.",Neutral
"Jara kadak alambi hota, but manageable.",Neutral
Lunch sathi okay dish hoti.,Neutral
Thoda gela thanda zala ki mast nahi vatla.,Neutral
It?s a safe option if nothing else to make.,Neutral
Varan bhat sobat nahi jamla kharach.,Neutral
Taste var bharosa nahi pan experiment hota.,Neutral
Kinva jara navin masale use kele asti tar better.,Neutral
"One-time try hota, not sure I?ll repeat.",Neutral
"Solkadhi ekdam refreshing hoti, summer sathi perfect!",Positive
Kokum ani coconut combo is divine.,Positive
"Solkadhi ne full meal complete zala, ekdam soothing.",Positive
Malvani food sobat mast lagte hi kadhi.,Positive
"Taste was authentic, like Gaav kadhi!",Positive
Jevanach shevat ha solkadhi glass ek must ahe.,Positive
"Spices ekdam perfect hotya, not too strong.",Positive
"Very cooling, digestion la pan changli vatli.",Positive
"Mummy made this recipe, ek number zala!",Positive
"Fresh kokum vaparlay, color khup chan disla.",Positive
Nusta kadhi gheun pan mast lagla.,Positive
"My guests loved it, ek glass zyada maagl!",Positive
Coconut milk perfectly blend zala hota.,Positive
Recipe simple ahe pan taste restaurant sarkha.,Positive
"Konkani kadhi without preservatives, best feel!",Positive
Every sip was a burst of flavors!,Positive
Very good for acidity and summer heat!,Positive
Tond la pani ala after first sip!,Positive
Recipe try keli and kharach sukhad vatla.,Positive
"Healthy, tasty ani easy to make!",Positive
Kadhipan asa kadhi try keli navti!,Positive
Solkadhi ne mala Goa chi athvan karun dili.,Positive
Refreshing taste with perfect tangy note!,Positive
Meal complete zala solkadhi ni!,Positive
"Ekda try kara, you?ll fall in love!",Positive
Khup changla balance of tanginess and sweetness.,Positive
Nustach kadhi pan thanda thanda super lagta.,Positive
"Khup hygienic, and home-made feel.",Positive
Solkadhi served cold ? ekdam heavenly.,Positive
Best konkani kadhi ever tried!,Positive
"Kadhi far watery hoti, ekdam diluted vatli.",Negative
"Kokum zasta zala hota, taste khup khatta.",Negative
Recipe follow keli but coconut milk curdle zala.,Negative
"Taste khup bland vatla, not impressive.",Negative
"Kadhi tikhat hoti, digestion la problem zala.",Negative
Navin kokum use kelay tar taste ch gela.,Negative
"Recipe thoda confusing vatla, proportions disat nahi.",Negative
"Coconut milk war cream jamli hoti, yuck!",Negative
"Kokum kadhi nahi, vinegar kadhi vatli.",Negative
"Too much hing used, smell odd vatli.",Negative
Kadhi sobat jevan ruin zala.,Negative
"Warm serve keli, kadhi geli sarvat ghalat.",Negative
"Solkadhi navta, nusta kokum pani vatla.",Negative
Kadhi sour hoti pan soothing navti.,Negative
"Color ekdam faint hota, kokum kami disla.",Negative
Too many spices ? kadhi la kadhi sarakh pan navta!,Negative
Thick hoti pan no taste.,Negative
Quantity kami zali khup laukar.,Negative
"Solkadhi neat disli nahi, jara particles hotya.",Negative
Kadhi ek glass pan sampat navti!,Negative
"Disgusting aftertaste, don?t recommend.",Negative
Gharat konala pan avadli nahi.,Negative
Recipe la authenticity kami hoti.,Negative
Khup ghatit smell hoti.,Negative
Ek pan flavor ch blend zala navta.,Negative
Solkadhi served hot ? major no!,Negative
"Rasa kadhi sarkha hota nahi, strange lagla.",Negative
"Khali kokum base jamla hota, mix nahi kelay.",Negative
Solkadhi na kadhi vatli na drink.,Negative
Asha kadhi mule digestion problem zala.,Negative
"Solkadhi try keli, thik vatli pan nothing wow.",Neutral
"Average taste hota, not bad.",Neutral
"Ekda try karayla okay ahe, pan regular nahi.",Neutral
"Not too tangy, not too bland ? middle path.",Neutral
"Kadhi pan kadhi navti, refreshing pan hoti.",Neutral
"Taste fine hota, pan jevan sobat jast jamla nahi.",Neutral
Kokum proportion thik vatla pan flavor missing hota.,Neutral
"Slightly thick vatla, but manageable.",Neutral
Masta disla but taste thoda dull vatla.,Neutral
"Na avadla na tras zala, just okay.",Neutral
"Simple recipe, quick banali.",Neutral
Kadhi fine hoti pan jevan sobat match nahi zala.,Neutral
"Healthy option vatla, pan taste very mild hota.",Neutral
Coconut milk fresh hota pan flavor ch navta.,Neutral
"Thoda meetha zala, but okay for summer.",Neutral
Presentation chan hota but flavor okayish.,Neutral
"Recipe instructions were correct, pan final output mid.",Neutral
"Served cold, fine vatla.",Neutral
"Kokum kadhi ch feel ala, but not restaurant-level.",Neutral
"Not memorable, pan not bad either.",Neutral
After food drink sarkha hota.,Neutral
Home-made kadhi sarkha simple hota.,Neutral
Refreshing pan not exciting.,Neutral
"Kokum ani coconut mix hota, pan chhan navta.",Neutral
It?s okay for first timers.,Neutral
"Kadhi far tikhat nahi hoti, fine.",Neutral
"Tried it once, might not again.",Neutral
"Too subtle, pan decent.",Neutral
"Ekdam mild kadhi vatli, not sure if that?s normal.",Neutral
"Meal complete zalayache feel navta, pan not bad.",Neutral
"Ha mango pulp ekdam creamy hota, perfect for aamras!",Positive
Konkani style mango pulp kharach ek number!,Positive
Sweetness ani texture donhi perfect hoti.,Positive
"Aaji sarkha taste ala, full nostalgic feel.",Positive
Gharat banavla ani saglyanni compliment kela.,Positive
Ha aamras puri sobat mast lagto!,Positive
"Ekdam natural taste, bilkul store-bought sarkha nahi.",Positive
Mango pulp without preservatives ? khup healthy vatla.,Positive
Recipe super easy hoti ani output fab!,Positive
Konkani touch added so much depth of flavour.,Positive
Alphonso cha taste khupach highlight zala.,Positive
"This was thick, rich and pure mango magic!",Positive
Best thing about summer is this mango pulp!,Positive
Ani ha pulp fridge madhe thanda kela ki heaven!,Positive
No added sugar ani still khup chaan vatla.,Positive
Ha aamras jevan la ek veglich level deto.,Positive
"Mi purya sobat ghetla, kay sangaycha ? superb!",Positive
Khup smooth texture hota ? ekdam restaurant quality.,Positive
Konkani jaggery touch made it extra tasty!,Positive
Tondala paani ala aamras pahile ki!,Positive
Saglya family la khup avadla!,Positive
Alphonso chi flavour ekdam authentic!,Positive
He recipe summer sathi must try ahe.,Positive
Homemade hota pan lagla ekdam professional.,Positive
Aamras like this is rare to find!,Positive
Flavor burst hota with every spoon.,Positive
Tiffin madhe gheun gelo ? office madhe pan popular zala!,Positive
Easy to prepare and full paisa vasool!,Positive
"Even kids loved it, they licked the bowl!",Positive
This Konkani mango pulp was soul-satisfying!,Positive
"Pulp khup patla hota, bilkul creamy navta.",Negative
"Taste bland hota, mango cha swad navta.",Negative
"Khup zasta god hota, teeth la jep vatla.",Negative
"Alphonso navta, dusrya mangovar kele mhanun flavor gela.",Negative
Jaggery zasta ghalun taste kadak zala.,Negative
Recipe follow keli pan final result very disappointing.,Negative
"Texture uniform navta ? kahi thick, kahi watery.",Negative
Too much pulp ani kahi flavour navta.,Negative
Khup artificial vatla ? natural nahi disla.,Negative
"Colour pan dull hota, yellow pan nahi properly.",Negative
"Mango fiber kadun nahi ghetla, kadak vatla.",Negative
Tondat goshta jamli nahi.,Negative
Taste tar changla nahi hota ani smell pan odd hoti.,Negative
Ferment jhalasarkha vatla thodasa.,Negative
Mango pulp rather bitter vatla.,Negative
Saglyat simple goshta ? mango pulp pan he navta.,Negative
Ha aamras serve kela tari koni kela nahi.,Negative
Consistency ekdam galat hoti.,Negative
Gharat konala pan avadla nahi.,Negative
Recipe la clarity navti proportions var.,Negative
Zasta thanda kela tar chipakla jala.,Negative
